test_id,max_num_candidates,max depth,nl_utterance,target_formula,initial_user_waiting,initial_candidates_generation_time,candidates_generation_solving_time,num_initial_candidates,num_attempts_candidates_generation,num_questions_asked,average_question_waiting,average_disambiguation_duration,num_disambiguations,formula_is_found,result_formula,TOP1,TOP3,TOP5
task0.json340,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.368982,0.8365975330002584,0.12161599099954401,3,4,1,0.034537,1.2452982979998524,1,False,"before(neg(at_6_4),at_6_4)",False,False,False
task0.json341,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.325986,0.8547169809999104,0.13439178899943727,3,4,2,0.720833,1.3090408569996725,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json342,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.189891,0.8184952579999845,0.11845831700065901,3,4,2,0.6510345000000001,1.1900692320000417,2,False,"before(neg(at_6_4),at_6_4)",False,False,False
task0.json360,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.755516,2.3908835430002,0.406549566999729,3,4,2,0.6506575,1.186515249499962,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json361,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.736451,2.3708488140000554,0.399815182000566,3,4,2,0.652833,1.1893089505001626,2,False,"before(neg(at_6_4),at_6_4)",False,False,False
task0.json362,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.710938,2.3434612209998704,0.369883284000025,3,4,2,0.6578645,1.1949048094998034,2,False,"before(neg(at_6_4),at_6_4)",False,False,False
task0.json540,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.43964,1.0689889989998846,0.23565717400015274,5,7,3,0.9413623333333333,1.2785457303331593,3,True,"before(neg(at_dry),at_6_4)",False,False,True
task0.json541,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.531128,1.015073680000114,0.22286165700006677,5,6,3,0.6000976666666666,0.9891493049999553,3,True,"before(neg(at_dry),at_6_4)",False,False,True
task0.json542,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.433004,1.068956968999828,0.23950662600054784,5,7,4,0.776949,1.0162207287499996,4,True,"before(neg(at_dry),at_6_4)",False,False,True
task0.json560,5,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",4.326208,2.858998946999691,0.6976117910007815,4,7,2,0.734032,1.3169391225001164,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json561,5,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",4.30544,2.8369634470000165,0.6861262740007987,3,7,2,0.7368060000000001,1.323298156499959,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json562,5,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",4.349865,2.8360544319998553,0.7034996370002773,4,7,2,0.7292775,1.3364624885000467,2,True,"before(neg(at_dry),at_6_4)",False,False,True
