test_id,max_num_candidates,start_depth,nl_utterance,target_formula,init_candidates_time,num_initial_candidates,num_attempts_candidates_generation,num_questions_asked,average_question_waiting,average_disambiguation_duration,num_disambiguations,formula_is_found,result_formula
task4.json320,3,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),3.382727,3,3,1,0.050103,0.33197048702277243,1,True,eventually(pick_two_x_square_item_at_4_0)
task4.json321,3,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),2.218462,3,3,1,0.047939,0.3286066160071641,1,True,eventually(pick_two_x_square_item_at_4_0)
task4.json322,3,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),2.68846,3,3,2,0.202878,0.31608537305146456,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json330,3,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),6.255977,3,5,1,11.589656,5.934835960972123,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json331,3,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),6.815127,3,5,2,0.249302,0.37854783807415515,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json332,3,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),7.724482,3,5,2,0.2442635,0.36751226033084095,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json620,6,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),25.235154,6,12,3,3.950756666666667,3.9869367913343012,3,True,eventually(pick_two_x_square_item_at_4_0)
task4.json621,6,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),14.479268,6,9,2,5.474415,5.573580155498348,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json622,6,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),28.560028,6,10,2,5.4373765,5.536836613435298,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json630,6,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),50.398882,6,12,2,0.257679,0.36823338945396245,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json631,6,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),52.86361,6,12,3,0.30460166666666666,0.3540294503327459,3,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json632,6,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),60.268925,6,13,3,2.031530333333333,2.100903588657578,3,False,"before(at_1_4,pick_two_x_x_item_at_4_0)"
task4.json1020,10,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),69.893635,10,17,2,0.273889,0.3607863545184955,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json1021,10,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),73.945049,10,16,3,0.32466866666666666,0.32951142561311525,3,True,eventually(pick_two_x_square_item_at_4_0)
task4.json1022,10,2,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),80.671301,10,18,2,5.566123500000001,5.64071889501065,2,True,eventually(pick_two_x_square_item_at_4_0)
task4.json1030,10,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),116.63763,9,15,5,2.0431396,2.013645512610674,5,False,"before(at_1_4,before(at_4_0,pick_two_x_x_item_at_4_0))"
task4.json1031,10,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),126.151725,9,16,2,0.26409,0.3435201966203749,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task4.json1032,10,3,"pick two squares from [4,0]",eventually(pick_two_x_square_item_at_4_0),129.578895,9,16,2,0.286994,0.3713410295313224,2,False,"before(at_4_0,pick_two_x_square_item_at_4_0)"
task8.json320,3,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",13.679555,3,6,1,0.044293,0.3167062869761139,1,False,eventually(at_5_4)
task8.json321,3,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",13.774061,3,6,1,0.040355,0.36267304606735706,1,False,eventually(at_5_4)
task8.json322,3,2,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",13.478029,3,5,1,0.043496,0.30514197587035596,1,False,eventually(at_5_4)
task8.json330,3,3,"reach [5,4] by only by going through the water","until(neg(at_dry),at_5_4)",8.999532,3,3,1,0.039934,0.30365699413232505,1,False,eventually(at_5_4)
