test_id,max_num_candidates,max depth,nl_utterance,target_formula,initial_user_waiting,initial_candidates_generation_time,candidates_generation_solving_time,num_initial_candidates,num_attempts_candidates_generation,num_questions_asked,average_question_waiting,average_disambiguation_duration,num_disambiguations,formula_is_found,result_formula,TOP1,TOP3,TOP5
task0.json340,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",0.895084,0.5269325289991684,0.0559722559992224,3,3,1,0.035375,0.3009625370032154,1,False,"before(at_2_4,at_6_4)",False,False,False
task0.json341,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",0.926938,0.5923667280003428,0.0882860200072173,3,4,2,0.1832495,0.2839818130014464,2,False,"before(at_4_3,at_6_4)",False,False,False
task0.json342,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",1.837925,0.5836966880015098,0.08164783898973837,3,4,2,0.6981305,1.2598261875027674,2,False,"before(at_2_4,at_6_4)",False,False,False
task0.json360,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.87292,1.618690486997366,0.22273734699410852,3,4,2,0.7137925,1.2727320229969337,2,False,"before(at_6_3,at_6_4)",False,False,False
task0.json361,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.143997,1.7620216540090041,0.3241169170214562,3,5,2,0.18238949999999998,0.3072119415010093,2,False,"before(at_6_3,at_6_4)",False,False,False
task0.json362,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.014927,1.6433681909984443,0.25712961399403866,3,4,2,0.1861805,0.3047547179958201,2,False,"before(at_2_3,at_6_4)",False,False,False
task0.json540,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",1.009819,0.6420094820059603,0.1008345980226295,5,5,3,0.9674216666666666,1.0263209953312373,3,False,"before(at_2_3,at_6_4)",False,False,False
task0.json541,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",1.071816,0.709062278008787,0.13709908901364543,5,6,3,0.615584,0.6731745583335093,3,False,"before(at_2_3,at_6_4)",False,False,False
task0.json542,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",1.077295,0.710302961000707,0.13662011100677773,5,6,3,0.6255476666666667,0.6695420296746306,3,False,"before(at_2_3,at_6_4)",False,False,False
task0.json560,5,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.17683,1.8543063319957582,0.3762099520099582,5,6,3,0.6342643333333333,0.6756524376639087,3,False,"before(at_2_3,at_6_4)",False,False,False
task0.json561,5,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.21724,1.8503905909892637,0.36954938001872506,5,6,4,0.53812675,0.5667487357495702,4,False,"before(at_2_3,at_6_4)",False,False,False
task0.json562,5,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.183306,1.8587399319949327,0.374673811980756,5,6,3,0.26450233333333334,0.30520631532999687,3,False,"before(at_2_3,at_6_4)",False,False,False
task1.json340,3,4,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",1.870673,1.4978766329877544,0.13839244698465336,3,3,1,0.031847,0.3016408340045018,1,False,eventually(at_4_1),False,False,False
task1.json341,3,4,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",1.950402,1.5838318299938692,0.1841139909956837,3,4,1,0.03209,0.29826122398662847,1,False,eventually(at_4_1),False,False,False
task1.json342,3,4,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",1.846655,1.5119970289961202,0.15504005399998277,3,3,1,0.029053,0.2669731529895216,1,False,eventually(at_4_1),False,False,False
task1.json360,3,6,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",5.367344,5.010063487992738,0.4509967829944799,3,3,2,0.6255425,0.7358171135056182,2,True,"until(at_dry,at_4_1)",False,True,True
task1.json361,3,6,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",5.43297,5.0552387990028365,0.4656126340123592,3,3,1,0.032073,0.3101198869990185,1,False,eventually(at_4_1),False,False,False
task1.json362,3,6,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",5.714652,5.34964878000028,0.7012674760335358,3,4,2,0.637833,0.7406079900028999,2,True,"until(at_dry,at_4_1)",False,True,True
task1.json540,5,4,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",2.143913,1.7754632229916751,0.2773761219868902,5,6,2,0.1641705,0.2775814655033173,2,False,eventually(at_4_1),False,False,False
task1.json541,5,4,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",2.029422,1.6675806889979867,0.22377740300726146,5,5,1,0.039555,0.29385102800733875,1,False,eventually(at_4_1),False,False,False
task1.json542,5,4,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",2.064301,1.700801875005709,0.2557825890253298,5,5,2,0.6295035,0.738873323003645,2,True,"until(at_dry,at_4_1)",False,True,True
task1.json560,5,6,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",5.764285,5.39680662000319,0.7096108340047067,5,5,2,0.634164,0.7412903630029177,2,True,"until(at_dry,at_4_1)",False,True,True
task1.json561,5,6,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",5.980617,5.602000794999185,0.8637746660242556,5,6,3,0.5263893333333334,0.5864341089957937,3,False,eventually(at_4_1),False,False,False
task1.json562,5,6,"stay dry until reaching [4,1]","until(at_dry,at_4_1)",6.916206,5.658437188001699,0.9032303609856172,5,6,2,0.6361545000000001,1.1863543464933173,2,True,"until(at_dry,at_4_1)",False,True,True
task2.json340,3,4,"bring one green from [7,4] to [3,4]","before(pick_one_green_x_item_at_7_4,at_3_4)",3.280949,2.9026179329957813,0.3755318140174495,3,4,2,0.21333749999999999,0.33217055950080976,2,False,"before(at_7_4,at_3_4)",False,False,False
