test_id,max_num_candidates,max depth,nl_utterance,target_formula,initial_user_waiting,initial_candidates_generation_time,candidates_generation_solving_time,num_initial_candidates,num_attempts_candidates_generation,num_questions_asked,average_question_waiting,average_disambiguation_duration,num_disambiguations,formula_is_found,result_formula,TOP1,TOP3,TOP5
task0.json340,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.155221,0.6789004080000041,0.1313917790000403,3,4,2,0.6871039999999999,1.3353212055000085,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json341,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",1.831795,0.5739502630000004,0.07208601900001099,3,4,2,0.708776,1.2728590010000005,2,False,"before(at_5_3,at_6_4)",False,False,False
task0.json342,3,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",1.852437,0.593804232999986,0.09062855399997716,3,4,2,0.7050420000000001,1.2684423010000074,2,False,"before(at_5_3,at_6_4)",False,False,False
task0.json360,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.162263,1.797764156999989,0.31872245500005647,2,5,1,0.025711,1.2993092480000143,1,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json361,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.872468,1.6131724589999976,0.20471850000001268,3,4,2,0.687984,1.2507684259999792,2,False,"before(neg(at_6_4),at_6_4)",False,False,False
task0.json362,3,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.018674,1.6537098359999618,0.23041169799995487,3,4,2,0.7591465,1.3765500829999837,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json540,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",1.974462,0.7075924790000272,0.12882706900006724,5,6,3,0.9784213333333334,1.3379434909999948,3,True,"before(neg(at_dry),at_6_4)",False,False,True
task0.json541,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.040452,0.7819455700000049,0.1537319149999803,4,7,2,0.688366,1.2519326944999989,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json542,5,4,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",2.133962,0.724091398999974,0.14426378500002102,5,6,2,0.695101,1.3225524874999905,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json560,5,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.404347,2.0372172209999917,0.46699198899995054,4,7,2,0.769725,1.382438694000001,2,True,"before(neg(at_dry),at_6_4)",False,True,True
task0.json561,5,6,"Step into water and then visit [6,4]","before(neg(at_dry),at_6_4)",3.428579,2.0642581980000045,0.45508518600001935,4,7,2,0.8218004999999999,1.4364410865000252,2,True,"before(neg(at_dry),at_6_4)",False,True,True
